Time,u_control_output,T_Reactor_Temperature,Ca_Concentration_Reactor,op_Cooling_Jacket_Temperature,ie_Integral_of_Error
3.766666666666666607e+00,3.010471151933532497e+02,3.301708630141421281e+02,8.770290043018981185e-01,3.011046615317123951e+02,1.609712328619284927e-01
3.799999999999999822e+00,3.011046615317123951e+02,3.301656525465909908e+02,8.746644669046985676e-01,3.011598016491708449e+02,1.611449151136352120e-01
3.833333333333333481e+00,3.011598016491708449e+02,3.301606602968210495e+02,8.723969756239865481e-01,3.012126324625276652e+02,1.613113234392977713e-01
3.866666666666666696e+00,3.012126324625276652e+02,3.301558770616851461e+02,8.702225314540943391e-01,3.012632513646964867e+02,1.614707646104945604e-01
3.899999999999999911e+00,3.012632513646964867e+02,3.301512939289362976e+02,8.681373014495319396e-01,3.013117526701203133e+02,1.616235357021228447e-01
3.933333333333333126e+00,3.013117526701203133e+02,3.301469023522682278e+02,8.661376117592564094e-01,3.013582268206507706e+02,1.617699215910606558e-01
3.966666666666666785e+00,3.013582268206507706e+02,3.301426941574840725e+02,8.642199409331633442e-01,3.014027603202663386e+02,1.619101947505303396e-01
4.000000000000000000e+00,3.014027603202663386e+02,3.301386615310314028e+02,8.623809135108416735e-01,3.500000000000000000e+02,0.000000000000000000e+00
4.033333333333333215e+00,3.500000000000000000e+02,3.335433012164698994e+02,8.596825305431435860e-01,3.394935741673054963e+02,2.818899594510023698e-01
4.066666666666666430e+00,3.394935741673054963e+02,3.363080883753826811e+02,8.551442383749968679e-01,3.102350312066811853e+02,1.897303874872433016e-01
4.099999999999999645e+00,3.102350312066811853e+02,3.371208025346725776e+02,8.494733805310783481e-01,3.016344298664891426e+02,1.626399155109135020e-01
4.133333333333332860e+00,3.016344298664891426e+02,3.373553161412380632e+02,8.436330798808281406e-01,2.991526741152634372e+02,1.548227952920681327e-01
4.166666666666666963e+00,2.991526741152634372e+02,3.374117931423138543e+02,8.379370265249179717e-01,2.985550025162266365e+02,1.529402285895376523e-01
4.200000000000000178e+00,2.985550025162266365e+02,3.374134505450117558e+02,8.324753955621778667e-01,2.985374629425624562e+02,1.528849818329409416e-01
4.233333333333333393e+00,2.985374629425624562e+02,3.373987804568440652e+02,8.272669913337659109e-01,2.986927101208151498e+02,1.533739847718639526e-01
4.266666666666666607e+00,2.986927101208151498e+02,3.373798042533060197e+02,8.223086482714745404e-01,2.988935270497630654e+02,1.540065248897987960e-01
4.299999999999999822e+00,2.988935270497630654e+02,3.373602395651340657e+02,8.175908175790826959e-01,2.991005716562692101e+02,1.546586811621972479e-01
4.333333333333333037e+00,2.991005716562692101e+02,3.373412040891281549e+02,8.131024156363981792e-01,2.993020158400283321e+02,1.552931970290609420e-01
4.366666666666666252e+00,2.993020158400283321e+02,3.373230055479584735e+02,8.088323066587329579e-01,2.994946031055318372e+02,1.558998150680544759e-01
4.400000000000000355e+00,2.994946031055318372e+02,3.373057018193125032e+02,8.047697382960703472e-01,2.996777209583237322e+02,1.564766060229159927e-01
